Card #,Name,Faction,Type,Rarity,Status,Automated from,Still manual
289,Emergency Reclamation,DriftConcordat,Event,Uncommon,auto,text,
290,Registry Lockdown,DriftConcordat,Event,Uncommon,auto,text,
291,Human Engineer,DriftConcordat,Unit,Common,none,,
292,Android Scavenger,DriftConcordat,Unit,Common,none,,
293,Refugee Soldier,DriftConcordat,Unit,Common,none,,
294,Salvage-Drone Basic Unit,DriftConcordat,Unit,Common,auto,text,
295,Mutant Scavenger,DriftConcordat,Unit,Common,none,,
296,Cyborg Refugee,DriftConcordat,Unit,Common,none,,
297,Human Archivist Trainee,DriftConcordat,Unit,Common,manual,,"When this Unit enters play, you may look at the top card of your Retirement Pile."
298,Android Reclaimer Basic,DriftConcordat,Unit,Common,none,,
299,Refugee Engineer Trainee,DriftConcordat,Unit,Common,auto,text,
300,Salvage-Drone Sentry,DriftConcordat,Unit,Common,none,,
301,Mutant Scavenger Whelp,DriftConcordat,Unit,Common,auto,text,
302,Cyborg Refugee Trainee,DriftConcordat,Unit,Common,none,,
303,Human Registrar Assistant,DriftConcordat,Unit,Common,none,,
304,Android Recon Basic,DriftConcordat,Unit,Common,auto,text,
305,Refugee Scavenger Novice,DriftConcordat,Unit,Common,none,,
306,Salvage-Drone Loader,DriftConcordat,Unit,Common,manual,,This Unit cannot use abilities the turn it enters play.
307,Human Engineer Apprentice,DriftConcordat,Unit,Common,none,,
308,Android Scavenger Basic,DriftConcordat,Unit,Common,none,,
309,Refugee Soldier Trainee,DriftConcordat,Unit,Common,auto,text,
310,Mutant Scavenger Basic,DriftConcordat,Unit,Common,none,,
311,Cyborg Refugee Basic,DriftConcordat,Unit,Common,auto,Scrap Value,
312,Human Archivist Basic,DriftConcordat,Unit,Common,manual,,Salvage Rights
313,Android Reclaimer Trainee,DriftConcordat,Unit,Common,none,,
314,Salvage-Drone Basic Hauler,DriftConcordat,Unit,Common,none,,
315,Scrap Pickup,DriftConcordat,Event,Common,auto,text,
316,Quick Salvage,DriftConcordat,Event,Common,auto,text,
317,Intake Line,DriftConcordat,Event,Common,auto,text,
318,Registry Note,DriftConcordat,Event,Common,manual,,Look at the top card of your Retirement Pile.
319,Black-Market Deal,DriftConcordat,Event,Common,auto,text,
320,Reinforced Plating,DriftConcordat,Event,Common,auto,text,
321,Prime Node Osiris,NullChoir,Unit,Mythic,partial,Consensus,"Reintegration | Whenever a Unit you control is Retired, you may return it to play from your Retirement Pile as one of your plays this turn; if you do, each other Unit you control gets +1 Power."
322,Choir-Voice Meridian,NullChoir,Unit,Exquisite,partial,Consensus,"Reintegration | When this Unit returns to play from your Retirement Pile, you may return an additional Unit from your Retirement Pile to your hand."
323,Mass Reintegration,NullChoir,Event,Exquisite,manual,,"Return up to 2 target Units from your Retirement Pile to play, in open Unit slots."
324,The Lattice Well,NullChoir,Location,Exquisite,partial,Consensus,"Whenever a Unit you control is Retired, you may shuffle it into your deck instead of putting it into your Retirement Pile."
325,Node-Marshal Ferrus,NullChoir,Unit,Legendary,partial,Consensus,"Reintegration | The first time this Unit would be Retired each round, instead return it to your hand."
326,Assimilated Vanguard,NullChoir,Unit,Legendary,manual,,Reintegration The opposing Unit has no abilities.
327,Lattice Drone Prime,NullChoir,Unit,Legendary,partial,Consensus,This Unit cannot gain Power from more than one ability's trigger per turn.
328,Consensus Vote,NullChoir,Event,Legendary,manual,,"Retire a Unit you control; each other Unit you control gets +2 Power until end of turn, then return the Retired Unit to your hand."
329,Signal Reintegration,NullChoir,Event,Legendary,manual,,Return target Unit from your Retirement Pile to play in an open Unit slot.
330,The Processing Well,NullChoir,Location,Legendary,partial,Consensus,"At the start of your turn, if a Unit you control was Retired last turn, draw a card."
331,Node Sentinel,NullChoir,Unit,Rare,manual,,Reintegration
332,Assimilated Engineer,NullChoir,Unit,Rare,auto,text,
333,Lattice Relay Drone,NullChoir,Unit,Rare,auto,Consensus,
334,Node Vanguard,NullChoir,Unit,Rare,manual,,Reintegration
335,Assimilated Diplomat,NullChoir,Unit,Rare,manual,,This Unit cannot use abilities the turn a Unit an opponent controls enters play.
336,Choir Fragment,NullChoir,Unit,Rare,manual,,"When this Unit is Retired, you may look at the top card of your deck."
337,Node Constructor,NullChoir,Unit,Rare,manual,,Reintegration
338,Assimilated Vanguard Elite,NullChoir,Unit,Rare,auto,Consensus,
339,Signal Loop,NullChoir,Event,Rare,manual,,"Return target Unit from your Retirement Pile to your hand, or target Unit you control gets +2 Power."
340,Processing Cycle,NullChoir,Event,Rare,auto,text,
341,Choir Resonance,NullChoir,Event,Rare,auto,text,
342,Forced Assimilation,NullChoir,Event,Rare,auto,text,
343,Relay Spire Alpha,NullChoir,Location,Rare,auto,Consensus,
344,The Peripheral Lattice,NullChoir,Location,Rare,auto,text,
345,Processing Node Theta,NullChoir,Location,Rare,manual,,"Whenever a Unit you control is Retired, you may have this Location get +1 Power."
346,The Assimilation Wellspring,NullChoir,Location,Rare,auto,Consensus,
347,Node Recruit,NullChoir,Unit,Uncommon,manual,,Reintegration
348,Assimilated Scout,NullChoir,Unit,Uncommon,auto,text,
349,Lattice Fragment,NullChoir,Unit,Uncommon,auto,Consensus,
350,Node Vessel,NullChoir,Unit,Uncommon,manual,,Reintegration
351,Assimilated Soldier,NullChoir,Unit,Uncommon,auto,text,
352,Choir Node Recruit,NullChoir,Unit,Uncommon,manual,,This Unit cannot use abilities the turn it enters play.
353,Assimilated Scholar,NullChoir,Unit,Uncommon,manual,,"Whenever a Unit you control is Retired, you may look at the top card of your deck."
354,Lattice Drone Recruit,NullChoir,Unit,Uncommon,manual,,Reintegration
355,Node Processor,NullChoir,Unit,Uncommon,manual,,"When this Unit enters play, you may return target Unit you control with 2 or less Power to your hand."
356,Assimilated Vanguard Recruit,NullChoir,Unit,Uncommon,auto,Consensus,
357,Choir Relay Novice,NullChoir,Unit,Uncommon,auto,text,
358,Node Construct Recruit,NullChoir,Unit,Uncommon,manual,,Reintegration
359,Assimilated Technician,NullChoir,Unit,Uncommon,manual,,"When this Unit enters play, you may remove all Power-reducing counters from target Unit you control."
360,Lattice Sentinel Novice,NullChoir,Unit,Uncommon,auto,Consensus,
361,Node Whisper,NullChoir,Unit,Uncommon,manual,,"When this Unit is Retired, you may look at the top card of your Retirement Pile."
362,Assimilated Vessel Recruit,NullChoir,Unit,Uncommon,manual,,Reintegration
363,Signal Echo,NullChoir,Event,Uncommon,auto,text,
364,Reintegration Pulse,NullChoir,Event,Uncommon,auto,text,
365,Consensus Reached,NullChoir,Event,Uncommon,manual,,Put a +1 Power counter on target Unit you control for each other Unit you control that shares a subtype with it (max 3).
366,Forced Integration,NullChoir,Event,Uncommon,auto,text,
367,Processing Loop,NullChoir,Event,Uncommon,auto,text,
368,Fragment Recall,NullChoir,Event,Uncommon,auto,text,
369,Signal Boost,NullChoir,Event,Uncommon,auto,text,
370,Redundant Systems,NullChoir,Event,Uncommon,auto,text,
371,Node Hatchling,NullChoir,Unit,Common,none,,
372,Assimilated Villager,NullChoir,Unit,Common,none,,
373,Lattice Seedling,NullChoir,Unit,Common,none,,
374,Node Whisperling,NullChoir,Unit,Common,auto,text,
375,Assimilated Farmer,NullChoir,Unit,Common,none,,
376,Choir Novice,NullChoir,Unit,Common,auto,text,
377,Node Splice,NullChoir,Unit,Common,none,,
378,Assimilated Clerk,NullChoir,Unit,Common,auto,text,
379,Lattice Thread,NullChoir,Unit,Common,none,,
380,Node Recruit Basic,NullChoir,Unit,Common,none,,
381,Assimilated Recruit,NullChoir,Unit,Common,auto,text,
382,Choir Echo,NullChoir,Unit,Common,none,,
383,Node Vessel Basic,NullChoir,Unit,Common,none,,
384,Assimilated Sentry,NullChoir,Unit,Common,auto,text,
385,Lattice Node Basic,NullChoir,Unit,Common,none,,
386,Node Fragment,NullChoir,Unit,Common,manual,,This Unit cannot use abilities the turn it enters play.
387,Assimilated Laborer,NullChoir,Unit,Common,none,,
388,Choir Vessel Basic,NullChoir,Unit,Common,none,,
389,Node Signal Basic,NullChoir,Unit,Common,auto,text,
390,Assimilated Guard,NullChoir,Unit,Common,none,,
391,Lattice Drone Basic,NullChoir,Unit,Common,auto,Consensus,
392,Node Recruit Elite,NullChoir,Unit,Common,manual,,Reintegration
393,Assimilated Veteran,NullChoir,Unit,Common,none,,
394,Choir Fragment Basic,NullChoir,Unit,Common,none,,
395,Weak Signal,NullChoir,Event,Common,auto,text,
396,Quick Process,NullChoir,Event,Common,auto,text,
397,Minor Assimilation,NullChoir,Event,Common,manual,,Put a +1 Power counter on target Unit you control. Its opposing Unit can't gain Power until the start of your next turn.
398,First Contact,NullChoir,Event,Common,auto,text,
399,Node Echo,NullChoir,Event,Common,manual,,Return the top card of your Retirement Pile to your hand if it is a Unit.
400,Basic Redundancy,NullChoir,Event,Common,auto,text,
401,The Standing Chair,MeridianCombine,Unit,Mythic,partial,Acquisition,"When this Unit enters play, you may choose one — draw 2 cards; or discard your hand, then draw that many cards. At the start of your turn, this Unit gets -1 Power unless discarded last turn."
402,Chief Negotiator Vex,MeridianCombine,Unit,Exquisite,partial,Acquisition,"When this Unit enters play, you may discard a card; if you do, each opponent's Units get -1 Power. At the start of your turn, this Unit gets -1 Power unless you discarded a card last turn."
403,Hostile Takeover,MeridianCombine,Event,Exquisite,manual,,"Contract | Additionally, you may have target Location an opponent controls get -3 Power."
404,The Meridian Spire,MeridianCombine,Location,Exquisite,manual,,"At the start of your turn, this Location gets -1 Power unless you discarded a card last turn. This Location gets +1 Power for each Unit you control."
405,The Director of Acquisitions,MeridianCombine,Unit,Legendary,partial,Acquisition,"When this Unit enters play, you may discard your hand; if you do, draw that many cards."
406,The Compliance Division,MeridianCombine,Unit,Legendary,auto,text,
407,"Augmented Analyst, Overworked",MeridianCombine,Unit,Legendary,partial,Acquisition,"At the start of your turn, put a -1 Power counter on this Unit."
408,Contract Renegotiation,MeridianCombine,Event,Legendary,manual,,"Contract | Additionally, you may look at target opponent's hand."
409,Market Correction,MeridianCombine,Event,Legendary,manual,,"Each opponent's Units get -1 Power, or draw a card and discard a card."
410,The Acquisition Office,MeridianCombine,Location,Legendary,manual,,"Whenever a Unit an opponent controls is Retired, you may have this Location get +1 Power. At the start of your turn, look at the top card of your deck."
411,Augmented Human Analyst,MeridianCombine,Unit,Rare,auto,Acquisition,
412,Construct Market Executive,MeridianCombine,Unit,Rare,auto,text,
413,Augmented Human Security Contractor,MeridianCombine,Unit,Rare,auto,text,
414,Construct Analyst Unit,MeridianCombine,Unit,Rare,auto,Acquisition,
415,Augmented Human Negotiator,MeridianCombine,Unit,Rare,manual,,"When this Unit enters play, you may discard a card; if you do, look at target opponent's hand."
416,Construct Enforcer,MeridianCombine,Unit,Rare,manual,,This Unit gets -1 Power at the start of each of your turns.
417,Augmented Human Recruiter,MeridianCombine,Unit,Rare,auto,text,
418,Construct Auditor,MeridianCombine,Unit,Rare,auto,Acquisition,
419,Standard Contract,MeridianCombine,Event,Rare,manual,,Contract
420,Hostile Bid,MeridianCombine,Event,Rare,manual,,Put a -1 Power counter on target Unit an opponent controls for each Unit you control with greater printed Power than it.
421,Emergency Restructuring,MeridianCombine,Event,Rare,manual,,"Discard your hand, then draw that many cards."
422,Shareholder Vote,MeridianCombine,Event,Rare,auto,text,
423,The Data-Vaults,MeridianCombine,Location,Rare,auto,text,
424,Trading Floor Prime,MeridianCombine,Location,Rare,auto,text,
425,Acquisition Office Annex,MeridianCombine,Location,Rare,auto,Acquisition,
426,The Boardroom,MeridianCombine,Location,Rare,auto,text,
427,Augmented Human Analyst Recruit,MeridianCombine,Unit,Uncommon,auto,Acquisition,
428,Construct Drone,MeridianCombine,Unit,Uncommon,auto,text,
429,Augmented Human Security Recruit,MeridianCombine,Unit,Uncommon,auto,text,
430,Construct Market Drone,MeridianCombine,Unit,Uncommon,auto,Acquisition,
431,Augmented Human Negotiator Recruit,MeridianCombine,Unit,Uncommon,auto,text,
432,Construct Enforcer Unit,MeridianCombine,Unit,Uncommon,manual,,This Unit cannot use abilities the turn it enters play.
433,Augmented Human Recruiter Novice,MeridianCombine,Unit,Uncommon,auto,text,
434,Construct Auditor Unit,MeridianCombine,Unit,Uncommon,auto,Acquisition,
435,Augmented Human Executive Trainee,MeridianCombine,Unit,Uncommon,auto,text,
436,Construct Analyst Recruit,MeridianCombine,Unit,Uncommon,auto,Acquisition,
437,Augmented Human Contractor,MeridianCombine,Unit,Uncommon,manual,,This Unit cannot be the target of your opponents' abilities that reduce its Power by more than 1.
438,Construct Recruiter Unit,MeridianCombine,Unit,Uncommon,auto,text,
439,Augmented Human Auditor,MeridianCombine,Unit,Uncommon,auto,Acquisition,
440,Construct Negotiator Unit,MeridianCombine,Unit,Uncommon,manual,,"When this Unit enters play, you may discard a card; if you do, look at target opponent's hand."
441,Augmented Human Market Trainee,MeridianCombine,Unit,Uncommon,auto,Acquisition,
442,Construct Security Recruit,MeridianCombine,Unit,Uncommon,auto,text,
443,Minor Contract,MeridianCombine,Event,Uncommon,manual,,"When this Event resolves, you may draw a card, or discard a card to give target Unit you control +1 Power."
444,Market Dip,MeridianCombine,Event,Uncommon,auto,text,
445,Recruitment Drive,MeridianCombine,Event,Uncommon,auto,text,
446,Asset Reallocation,MeridianCombine,Event,Uncommon,auto,text,
447,Boardroom Pressure,MeridianCombine,Event,Uncommon,manual,,Put a +1 Power counter on target Unit you control for each card fewer than 5 in your hand (max 3).
448,Due Diligence Report,MeridianCombine,Event,Uncommon,auto,text,
449,Cost-Cutting Measure,MeridianCombine,Event,Uncommon,auto,text,
450,Aggressive Expansion,MeridianCombine,Event,Uncommon,auto,text,
451,Augmented Human Analyst Trainee,MeridianCombine,Unit,Common,none,,
452,Construct Drone Basic,MeridianCombine,Unit,Common,none,,
453,Augmented Human Security Guard,MeridianCombine,Unit,Common,none,,
454,Construct Market Unit,MeridianCombine,Unit,Common,auto,text,
455,Augmented Human Negotiator Trainee,MeridianCombine,Unit,Common,none,,
456,Construct Enforcer Basic,MeridianCombine,Unit,Common,auto,text,
457,Augmented Human Recruiter Trainee,MeridianCombine,Unit,Common,none,,
458,Construct Auditor Basic,MeridianCombine,Unit,Common,auto,Acquisition,
459,Augmented Human Executive Assistant,MeridianCombine,Unit,Common,none,,
460,Construct Analyst Basic,MeridianCombine,Unit,Common,none,,
461,Augmented Human Contractor Recruit,MeridianCombine,Unit,Common,auto,text,
462,Construct Recruiter Basic,MeridianCombine,Unit,Common,none,,
463,Augmented Human Auditor Trainee,MeridianCombine,Unit,Common,none,,
464,Construct Negotiator Basic,MeridianCombine,Unit,Common,auto,text,
465,Augmented Human Market Analyst,MeridianCombine,Unit,Common,none,,
466,Construct Security Basic,MeridianCombine,Unit,Common,manual,,This Unit gets -1 Power at the start of each of your turns.
467,Augmented Human Recruit,MeridianCombine,Unit,Common,none,,
468,Construct Drone Escort,MeridianCombine,Unit,Common,none,,
469,Augmented Human Analyst Basic,MeridianCombine,Unit,Common,auto,text,
470,Construct Market Trainee,MeridianCombine,Unit,Common,none,,
471,Augmented Human Security Trainee,MeridianCombine,Unit,Common,auto,text,
472,Construct Auditor Trainee,MeridianCombine,Unit,Common,auto,Acquisition,
473,Augmented Human Contractor Basic,MeridianCombine,Unit,Common,none,,
474,Construct Recruiter Trainee,MeridianCombine,Unit,Common,none,,
475,Minor Contract Clause,MeridianCombine,Event,Common,auto,text,
476,Quick Trade,MeridianCombine,Event,Common,auto,text,
477,New Hire,MeridianCombine,Event,Common,auto,text,
478,Minor Correction,MeridianCombine,Event,Common,auto,text,
479,Standard Procedure,MeridianCombine,Event,Common,auto,text,
480,Liability Waiver,MeridianCombine,Event,Common,auto,text,
481,"The First Root, Awakened",VerdantConcord,Unit,Mythic,partial,Root Network,"When this Unit enters play, you may choose one — each of your Locations gets +3 Power; search your deck for a Location card and put it into your hand; or each opponent's Units get -2 Power."
482,Warden Elenya Thistlecrown,VerdantConcord,Unit,Exquisite,partial,Root Network,"When this Unit enters play, target Location you control gets +2 Power, or you may search your deck for a Location card and put it into your hand."
483,The Great Communion,VerdantConcord,Event,Exquisite,manual,,"During the next Conflict, each of your Locations gets +2 Power. Or, shuffle a Unit from your Retirement Pile into your deck."
484,The Sundered Canopy,VerdantConcord,Location,Exquisite,auto,Overgrowth; Root Bond,
485,Warden-Speaker Brambletongue,VerdantConcord,Unit,Legendary,partial,Root Network,"When this Unit enters play, you may look at the top card of your deck; if it is a Location, put it into your hand."
486,Fae Shaper of the Deep Grove,VerdantConcord,Unit,Legendary,partial,Root Network,This Unit gets +1 Power for every 2 Power the opposing Unit has.
487,"Beastfolk Ranger, Old-Growth",VerdantConcord,Unit,Legendary,auto,text,
488,Growth Surge,VerdantConcord,Event,Legendary,manual,,"Put a +1 Power counter on each Location you control, or draw a card for each Location you control."
489,Seasonal Rite,VerdantConcord,Event,Legendary,manual,,"Target Location you control gets +3 Power, or shuffle target Unit from your Retirement Pile into your deck."
490,The Ley-Shrine of Endless Spring,VerdantConcord,Location,Legendary,auto,Overgrowth; Root Bond,
491,Fae Shaper Adept,VerdantConcord,Unit,Rare,auto,Root Network,
492,Beastfolk Ranger Scout,VerdantConcord,Unit,Rare,auto,text,
493,Fae Tender of the Grove,VerdantConcord,Unit,Rare,manual,,Tender's Care
494,Beastfolk Beastspeaker Adept,VerdantConcord,Unit,Rare,auto,text,
495,Fae Warden of the Threshold,VerdantConcord,Unit,Rare,auto,Root Network,
496,"Beastfolk Ranger, Thornback",VerdantConcord,Unit,Rare,auto,text,
497,"Fae Shaper, Rootbound",VerdantConcord,Unit,Rare,auto,Root Network,
498,Beastfolk Tender,VerdantConcord,Unit,Rare,manual,,Tender's Care
499,Communion of Roots,VerdantConcord,Event,Rare,manual,,"Each of your Locations gets +1 Power, or shuffle a Unit from your Retirement Pile into your deck."
500,Bloom,VerdantConcord,Event,Rare,auto,text,
501,Wild Growth,VerdantConcord,Event,Rare,manual,,"Draw a card. If you control a Location, draw an additional card."
502,Thornlash,VerdantConcord,Event,Rare,manual,,"During the next Conflict, each Location you control gets +1 Power for each of your opponents' Units."
503,The Root-Hall of Elenwood,VerdantConcord,Location,Rare,auto,Overgrowth,
504,Grove of the Beastspeakers,VerdantConcord,Location,Rare,auto,Root Bond,
505,The Deep Ley-Shrine,VerdantConcord,Location,Rare,manual,,"At the start of your turn, this Location gets +1 Power if you control 2 or more Locations."
506,Old-Growth Sanctuary,VerdantConcord,Location,Rare,auto,Overgrowth,
507,Fae Shaper Recruit,VerdantConcord,Unit,Uncommon,auto,Root Network,
508,Beastfolk Ranger Recruit,VerdantConcord,Unit,Uncommon,auto,text,
509,Fae Tender Recruit,VerdantConcord,Unit,Uncommon,auto,text,
510,Beastfolk Beastspeaker Recruit,VerdantConcord,Unit,Uncommon,auto,Root Network,
511,Fae Warden Recruit,VerdantConcord,Unit,Uncommon,auto,text,
512,"Beastfolk Ranger, Sapling-Born",VerdantConcord,Unit,Uncommon,auto,text,
513,"Fae Shaper, Green Touch",VerdantConcord,Unit,Uncommon,auto,text,
514,Beastfolk Tender Recruit,VerdantConcord,Unit,Uncommon,auto,Root Network,
515,"Fae Warden, Thistleguard",VerdantConcord,Unit,Uncommon,auto,text,
516,Beastfolk Scout,VerdantConcord,Unit,Uncommon,auto,text,
517,Fae Grove-Tender Novice,VerdantConcord,Unit,Uncommon,auto,text,
518,Beastfolk Beastspeaker Novice,VerdantConcord,Unit,Uncommon,manual,,"When this Unit enters play, you may return target Unit you control with 2 or less Power to your hand."
519,Fae Shaper Adept Novice,VerdantConcord,Unit,Uncommon,auto,Root Network,
520,"Beastfolk Ranger, Thornwatch",VerdantConcord,Unit,Uncommon,auto,text,
521,Fae Warden of the Sapling Line,VerdantConcord,Unit,Uncommon,auto,Root Network,
522,"Beastfolk Tender, Green-Handed",VerdantConcord,Unit,Uncommon,auto,text,
523,Grove's Whisper,VerdantConcord,Event,Uncommon,auto,text,
524,Rootbind,VerdantConcord,Event,Uncommon,manual,,"During the next Conflict, target Location you control gets +1 Power for each of your opponents' Units."
525,Sapling's Growth,VerdantConcord,Event,Uncommon,auto,text,
526,Blessing of the Grove,VerdantConcord,Event,Uncommon,auto,text,
527,Call of the Wild,VerdantConcord,Event,Uncommon,auto,text,
528,Renewed Growth,VerdantConcord,Event,Uncommon,auto,text,
529,Thicket's Defense,VerdantConcord,Event,Uncommon,manual,,Prevent the next 1 Power loss target Location you control would take this turn.
530,Quiet Season,VerdantConcord,Event,Uncommon,auto,text,
531,Fae Shaper Sapling,VerdantConcord,Unit,Common,none,,
532,Beastfolk Ranger Cub,VerdantConcord,Unit,Common,none,,
533,Fae Tender Sprout,VerdantConcord,Unit,Common,none,,
534,Beastfolk Beastspeaker Whelp,VerdantConcord,Unit,Common,auto,text,
535,Fae Warden Sprout,VerdantConcord,Unit,Common,none,,
536,Beastfolk Ranger Novice,VerdantConcord,Unit,Common,auto,text,
537,Fae Shaper Novice,VerdantConcord,Unit,Common,none,,
538,Beastfolk Tender Sprout,VerdantConcord,Unit,Common,auto,text,
539,Fae Warden Novice,VerdantConcord,Unit,Common,none,,
540,Beastfolk Scout Cub,VerdantConcord,Unit,Common,none,,
541,Fae Grove-Tender Sprout,VerdantConcord,Unit,Common,auto,text,
542,Beastfolk Beastspeaker Cub,VerdantConcord,Unit,Common,none,,
543,"Fae Shaper, Green Sprout",VerdantConcord,Unit,Common,none,,
544,"Beastfolk Ranger, Thicket-Born",VerdantConcord,Unit,Common,auto,text,
545,Fae Warden Sapling,VerdantConcord,Unit,Common,none,,
546,Beastfolk Tender Novice,VerdantConcord,Unit,Common,manual,,This Unit cannot use abilities the turn it enters play.
547,Fae Shaper Whelp,VerdantConcord,Unit,Common,none,,
548,Beastfolk Scout Novice,VerdantConcord,Unit,Common,none,,
549,"Fae Tender, Root-Handed",VerdantConcord,Unit,Common,auto,text,
550,Beastfolk Ranger Sprout,VerdantConcord,Unit,Common,none,,
551,"Fae Warden, Thorn-Touched",VerdantConcord,Unit,Common,auto,text,
552,Beastfolk Beastspeaker Sprout,VerdantConcord,Unit,Common,none,,
553,Fae Grove-Tender Novice II,VerdantConcord,Unit,Common,none,,
554,"Beastfolk Tender, New-Grown",VerdantConcord,Unit,Common,none,,
555,Small Bloom,VerdantConcord,Event,Common,auto,text,
556,Quick Growth,VerdantConcord,Event,Common,auto,text,
557,Undergrowth,VerdantConcord,Event,Common,manual,,Target Unit you control gets +1 Power for each Location you control.
558,Grove's Gift,VerdantConcord,Event,Common,auto,text,
559,First Bloom,VerdantConcord,Event,Common,auto,text,
560,Root Ward,VerdantConcord,Event,Common,manual,,Prevent the next 1 Power loss target Location you control would take this turn.
561,The Unseen Chancellor,HollowCourt,Unit,Mythic,manual,,"Whisper Network | Blackmail | When the Chancellor enters play, you may look at each opponent's hand and choose 1 card from each to force its owner to discard, or draw a card for each opponent instead."
562,Spymistress Corvienne,HollowCourt,Unit,Exquisite,manual,,"Whisper Network | Blackmail | When this Unit enters play, you may look at target opponent's hand; if you do, that opponent's Unit adjacent to yours gets -2 Power."
563,The Long Con,HollowCourt,Event,Exquisite,manual,,Look at target opponent's hand; choose a card and force them to discard it. Then target Unit you control gets +2 Power.
564,The Latticework,HollowCourt,Location,Exquisite,partial,text,Whisper Network
565,"Chancellor's Voice, Mireille Ansel",HollowCourt,Unit,Legendary,partial,text,Whisper Network | Blackmail
566,The Ledger-Keeper,HollowCourt,Unit,Legendary,manual,,Blackmail
567,The Pale Notary,HollowCourt,Unit,Legendary,manual,,"Whisper Network | At the start of your turn, this Unit's abilities do not trigger if you have 4 or more cards in hand."
568,Coup d'Ã‰tat,HollowCourt,Event,Legendary,manual,,"Target Unit an opponent controls gets -3 Power, or look at target opponent's hand and choose a card for them to discard."
569,Sabotage Operation,HollowCourt,Event,Legendary,manual,,"Target Location an opponent controls gets -2 Power, or Erase a card from target opponent's Retirement Pile and draw a card."
570,The Chancellor's Safehouse,HollowCourt,Location,Legendary,manual,,"Whisper Network | At the start of your turn, if you have 1 or fewer cards in hand, draw a card."
571,Shadowkin Spy,HollowCourt,Unit,Rare,manual,,Whisper Network
572,Defected Noble Informant,HollowCourt,Unit,Rare,manual,,"When this Unit enters play, you may look at target opponent's hand."
573,Shadowkin Saboteur,HollowCourt,Unit,Rare,auto,text,
574,Defected Diplomat,HollowCourt,Unit,Rare,manual,,Whisper Network
575,Shadowkin Adjacent-Watcher,HollowCourt,Unit,Rare,manual,,This Unit gets +1 Power for each Adjacent Location you control.
576,Defected Noble Assassin,HollowCourt,Unit,Rare,manual,,This Unit cannot be played unless an opponent has 3 or more cards in hand.
577,Shadowkin Blackmailer,HollowCourt,Unit,Rare,manual,,Blackmail
578,"Defected Diplomat, Court Exile",HollowCourt,Unit,Rare,auto,text,
579,Blackmail Letter,HollowCourt,Event,Rare,manual,,"Look at target opponent's hand; choose a card for them to discard, or draw a card instead."
580,Quiet Sabotage,HollowCourt,Event,Rare,auto,text,
581,Whispered Rumor,HollowCourt,Event,Rare,manual,,Put a -1 Power counter on target Unit an opponent controls. Look at an opponent's hand.
582,Safehouse Meeting,HollowCourt,Event,Rare,auto,text,
583,The Shadow Embassy,HollowCourt,Location,Rare,auto,text,
584,Black Market Row,HollowCourt,Location,Rare,manual,,This Location gets +1 Power for each card in your Retirement Pile.
585,The Unseen Safehouse,HollowCourt,Location,Rare,manual,,Whisper Network
586,Chancellor's Quiet Office,HollowCourt,Location,Rare,manual,,This Location cannot be targeted by your opponents' abilities unless you have 3 or more cards in hand.
587,Shadowkin Spy Recruit,HollowCourt,Unit,Uncommon,manual,,Whisper Network
588,Defected Noble Recruit,HollowCourt,Unit,Uncommon,manual,,"When this Unit enters play, you may look at target opponent's hand."
589,Shadowkin Saboteur Recruit,HollowCourt,Unit,Uncommon,auto,text,
590,Defected Diplomat Recruit,HollowCourt,Unit,Uncommon,manual,,Whisper Network
591,Shadowkin Informant,HollowCourt,Unit,Uncommon,auto,text,
592,"Defected Noble, Half-Turned",HollowCourt,Unit,Uncommon,manual,,This Unit cannot use abilities the turn it enters play.
593,Shadowkin Blackmailer Recruit,HollowCourt,Unit,Uncommon,auto,text,
594,"Defected Diplomat, Newly Exiled",HollowCourt,Unit,Uncommon,manual,,Whisper Network
595,Shadowkin Adjacent Scout,HollowCourt,Unit,Uncommon,manual,,This Unit gets +1 Power for each Adjacent Location you control.
596,Defected Noble Saboteur,HollowCourt,Unit,Uncommon,auto,text,
597,Shadowkin Spy Novice,HollowCourt,Unit,Uncommon,auto,text,
598,"Defected Diplomat, Silver-Tongued",HollowCourt,Unit,Uncommon,auto,text,
599,Shadowkin Informant Recruit,HollowCourt,Unit,Uncommon,manual,,Whisper Network
600,Defected Noble Informant Recruit,HollowCourt,Unit,Uncommon,manual,,"When this Unit enters play, you may look at target opponent's hand."
601,Shadowkin Saboteur Novice,HollowCourt,Unit,Uncommon,auto,text,
602,Defected Diplomat Novice,HollowCourt,Unit,Uncommon,manual,,Whisper Network
603,Quiet Word,HollowCourt,Event,Uncommon,auto,text,
604,Minor Blackmail,HollowCourt,Event,Uncommon,manual,,Target Unit an opponent controls can't gain Power until the start of your next turn.
605,Bribery,HollowCourt,Event,Uncommon,auto,text,
606,Forged Papers,HollowCourt,Event,Uncommon,auto,text,
607,Whisper in the Dark,HollowCourt,Event,Uncommon,manual,,Look at target opponent's hand.
608,Sabotaged Supply Line,HollowCourt,Event,Uncommon,auto,text,
609,Coerced Silence,HollowCourt,Event,Uncommon,auto,text,
610,Court Intrigue,HollowCourt,Event,Uncommon,manual,,Look at an opponent's hand. Put a +1 Power counter on target Unit you control for each Unit card there (max 3).
611,Shadowkin Novice Spy,HollowCourt,Unit,Common,none,,
612,Defected Noble Attendant,HollowCourt,Unit,Common,none,,
613,Shadowkin Errand-Runner,HollowCourt,Unit,Common,none,,
